datahora,sac_0,sac_1,sac_2,sac_3,sac_4,sac_5,sac_6,sac_7,sac_8,sac_9,sac_10,sac_11,sac_12,sac_13,sac_14,sac_15,sac_16,sac_17,sac_18,sac_19,sac_20,sac_21,sac_22,sac_23,sac_24,sac_25,sac_26,sac_27,sac_28,sac_29,sac_30,sac_31,sac_32,sac_33,sac_34,sac_35,sac_36,sac_37,sac_38,sac_39,sac_40,sac_41,sac_42,sac_43,sac_44,sac_45,sac_46,sac_47,sac_48,sac_49,sac_50,Qmed,Q25,Q75,Qmax,Qmin
2019-07-31 18:00:00+00:00,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742,690.742
2019-08-01 00:00:00+00:00,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448,663.448
2019-08-01 06:00:00+00:00,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647,636.647
2019-08-01 12:00:00+00:00,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482,610.482
2019-08-01 18:00:00+00:00,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402,584.402
2019-08-02 00:00:00+00:00,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281,559.281
2019-08-02 06:00:00+00:00,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842,534.842
2019-08-02 12:00:00+00:00,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252,511.252
2019-08-02 18:00:00+00:00,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689,488.689
2019-08-03 00:00:00+00:00,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268,467.268
